0,0
0.1,0.7729
0.2,1.119
0.3,1.255
0.4,1.2885
0.5,1.2726
0.6,1.2339
0.7,1.1853
0.8,1.1333
0.9,1.0808
1,1.0296
1.1,0.98004
1.2,0.9326
1.3,0.88729
1.4,0.8441
1.5,0.80298
1.6,0.76384
1.7,0.72659
1.8,0.69116
1.9,0.65746
2,0.62539
2.1,0.59489
2.2,0.56588
2.3,0.53828
2.4,0.51203
2.5,0.48706
2.6,0.4633
2.7,0.44071
2.8,0.41921
2.9,0.39877
3,0.37932
3.1,0.36082
3.2,0.34322
3.3,0.32648
3.4,0.31056
3.5,0.29542
3.6,0.28101
3.7,0.2673
3.8,0.25427
3.9,0.24187
4,0.23007
4.1,0.21885
4.2,0.20818
4.3,0.19802
4.4,0.18837
4.5,0.17918
4.6,0.17044
4.7,0.16213
4.8,0.15422
4.9,0.1467
5,0.13954
5.1,0.13274
5.2,0.12627
5.3,0.12011
5.4,0.11425
5.5,0.10868
5.6,0.10338
5.7,0.098335
5.8,0.093539
5.9,0.088978
6,0.084638
6.1,0.08051
6.2,0.076584
6.3,0.072849
6.4,0.069296
6.5,0.065916
6.6,0.062701
6.7,0.059643
6.8,0.056735
6.9,0.053968
7,0.051336
7.1,0.048832
7.2,0.04645
7.3,0.044185
7.4,0.04203
7.5,0.03998
7.6,0.03803
7.7,0.036176
7.8,0.034411
7.9,0.032733
8,0.031137
8.1,0.029618
8.2,0.028174
8.3,0.0268
8.4,0.025492
8.5,0.024249
8.6,0.023067
8.7,0.021942
8.8,0.020871
8.9,0.019854
9,0.018885
9.1,0.017964
9.2,0.017088
9.3,0.016255
9.4,0.015462
9.5,0.014708
9.6,0.013991
9.7,0.013308
9.8,0.012659
9.9,0.012042
10,0.011455
